Number;task1-flu;task1-orig;task1-ela;task1-res;task2-flu;task2-orig;task2-abs;task3-flu;task3-orig;task3-abs;task3-res;task4-orig;task4-abs;task4-res;task5-flu;task5-orig;task5-ela;task5-abs;task5-res;TOTAL FLU;TOTAL ORIGIN;TOTAL ELAB;TOTAL ABS;TOTAL RES
1;3;2;3;2;5;4;3;4;2;2;2;3;2;3;5;4;6;3;3;17;15;9;10;10
2;2;1;3;1;3;2;4;4;3;4;3;4;5;3;4;4;6;4;3;13;14;9;17;10
3;4;3;4;3;1;1;1;2;2;2;2;0;0;0;8;7;8;5;5;15;13;12;8;10
4;5;4;6;5;4;3;3;6;4;3;4;3;3;4;8;7;8;5;4;23;21;14;14;17
5;2;2;2;4;1;1;2;3;2;3;2;1;1;1;4;4;4;4;5;10;10;6;10;12
6;3;1;3;3;1;1;1;3;1;2;2;0;0;0;0;0;0;0;0;7;3;3;3;5
7;2;1;2;1;1;0;2;4;2;3;3;3;2;2;4;3;4;4;4;11;9;6;11;10
8;3;1;3;2;1;0;1;2;1;1;1;4;3;3;6;5;6;5;5;12;11;9;10;11
9;2;0;2;1;1;0;1;2;1;2;1;3;2;1;8;6;8;5;5;13;10;10;10;8
10;4;4;5;5;5;4;3;13;9;5;5;5;4;5;0;0;0;0;0;22;22;5;12;15
11;1;1;1;3;1;1;2;3;2;4;3;0;0;0;0;0;0;0;0;5;4;1;6;6
12;4;3;5;3;10;8;5;9;5;5;5;4;3;4;8;7;8;5;5;31;27;13;18;17
13;3;2;4;2;2;1;3;3;2;3;2;4;3;3;2;0;2;2;3;10;9;6;11;10
14;7;5;8;5;6;3;4;9;6;5;4;0;0;0;0;0;0;0;0;22;14;8;9;9
15;3;3;3;2;5;4;5;14;10;5;5;4;3;2;0;0;0;0;0;22;21;3;13;9
16;6;4;7;3;5;3;4;9;6;5;4;5;4;4;2;1;2;3;3;22;19;9;16;14
17;5;3;5;4;3;2;3;7;5;5;4;4;3;3;0;0;0;0;0;15;14;5;11;11
18;6;4;7;4;5;3;4;4;2;3;3;3;3;2;1;1;1;2;1;16;13;8;12;10
19;4;4;6;5;5;3;4;5;3;3;3;4;3;3;0;0;0;0;0;14;14;6;10;11
20;6;4;8;4;4;3;3;6;5;5;4;5;5;5;8;7;8;5;5;24;24;16;18;18
21;2;1;2;2;2;2;3;1;0;1;1;4;3;2;1;1;1;2;2;6;8;3;9;7
22;3;1;3;1;5;5;4;4;2;3;2;4;2;3;6;5;7;5;4;18;17;10;14;10
23;2;1;3;2;2;2;1;3;1;2;2;2;2;1;1;1;1;1;1;8;7;4;6;6
